Participant ID,Assessment Date,Age Group,Gender,Country,Highest Education Level,Employment Status,Career Stage,Years of Experience,Current Job Function,Industry / Sector,Current Role Level,Career Interest,Previous AI Exposure,TG Nexus Cohort,Overall Baseline Score,Strategic Thinking Pre,Problem Solving Pre,Decision Making Pre,Leadership Pre,Adaptability Pre,Digital Capability Pre,AI Knowledge Pre,AI Application Pre,AI Judgement Pre,Data Literacy Pre,Primary Gap Identified,Intervention Type,Personalised Intervention,AI-Supported Recommendation,Intervention Start Date,Intervention End Date,Learning / Contact Hours,Completion Rate %,Engagement Level,Reassessment Date,Overall Post Score,Strategic Thinking Post,Problem Solving Post,Decision Making Post,Leadership Post,Adaptability Post,Digital Capability Post,AI Knowledge Post,AI Application Post,AI Judgement Post,Data Literacy Post,Outcome / Progression,Notes
TGN-001685,2026-07-28,,Female,Lagos,Bachelor's,Other,Early Career,0,Content Creator,,,Content Creation,,,98.04,95.9,97.9,100.0,91.9,99.0,99.7,82.6,74.3,77.2,73.7,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001414,2026-09-02,,,Ghana,Bachelor's,,Early Career,0,"Business, Management & Consulting","Business, Management & Consulting",,Business Analyst,,,90.43,94.7,100.0,88.2,97.8,94.6,96.8,75.0,72.3,75.9,72.3,Job Search Strategy,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000157,2026-08-25,18–24,Male,Nigeria,,Student,,,Technology & Digital,Technology & Digital,,Web Developer,,,88.89,89.2,39.3,93.8,91.7,100.0,94.0,69.1,81.0,71.8,63.5,Problem Solving & Critical Thinking,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001427,2026-09-07,25–34,Female,Nigeria,,Employed,,,Technology & Digital,Technology & Digital,,Product Designer,,,28.28,17.6,63.3,30.4,5.7,13.8,18.4,21.4,15.2,23.7,25.4,Public Speaking & Presentation Skills,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000658,2026-08-18,,Male,Nigeria,Bachelor's,Student,Early Career,0,Student & Early Career,,,Backend Development,,,96.97,86.4,99.9,97.4,91.7,96.6,94.9,83.2,73.2,79.1,85.0,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000937,2026-08-21,,Male,Nigeria,Bachelor's,Other,Mid-Career,5+,Technology & Digital,,,Frontend Development,,,99.06,100.0,97.2,99.2,98.2,100.0,95.6,87.3,93.9,80.3,91.3,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001407,2026-08-31,35–44,Male,Nigeria,,Other,,,Entrepreneurship & Business Ownership,Education & Research,,Academic Researcher,,,28.0,26.0,71.2,35.3,61.3,15.8,9.4,18.1,24.4,38.0,32.2,Academic Researcher,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000124,2026-08-13,,Male,Nigeria,Bachelor's,Employed,Early Career,0,Technology & Digital,,,Backend Development,,,89.69,80.1,87.4,84.2,96.0,85.2,97.7,57.7,68.3,70.2,75.7,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001383,2026-08-26,25–34,Male,Nigeria,,Self-employed,,,Entrepreneurship & Business Ownership,"Business, Management & Consulting",,Business Analyst,,,57.29,53.8,83.9,60.5,81.9,81.1,77.6,42.3,43.1,30.5,47.5,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000962,2026-08-20,,Female,Nigeria,Bachelor's,Other,Early Career,0+,"Business, Management & Consulting",,,Data Analysis,,,100.0,100.0,97.7,100.0,90.6,100.0,97.4,88.9,81.2,94.8,83.3,,,,Yes,,,,,,,,,,,,,,,,,,,
