condition,learner,seed,estimator,estimate,se,ci_low,ci_high,true_ate,true_sample_ate,treatment_rate,min_propensity,max_propensity,clipped_fraction
linear_high_confounding,linear,2,difference-in-means,2.4731029182842033,0.04665163312020448,2.3816657173686027,2.564540119199804,1.0,1.012029879596719,0.503,0.01,0.99,0.01675
linear_high_confounding,linear,2,outcome-regression,0.9975471346992484,0.011727128898163986,0.9745619620588469,1.0205323073396497,1.0,1.012029879596719,0.503,0.01,0.99,0.01675
linear_high_confounding,linear,2,ipw,0.9129056158053682,0.14985669334550655,0.6191864968481754,1.2066247347625612,1.0,1.012029879596719,0.503,0.01,0.99,0.01675
linear_high_confounding,linear,2,aipw,1.0599194111951442,0.05935250495643361,0.9435885014805343,1.1762503209097541,1.0,1.012029879596719,0.503,0.01,0.99,0.01675
nonlinear_linear_learner,linear,0,difference-in-means,3.2790217219462545,0.06975012550566687,3.1423114759551476,3.4157319679373614,1.0,0.9972506372193501,0.47825,0.08260605872630049,0.9438237517311538,0.0
nonlinear_linear_learner,linear,0,outcome-regression,2.7516933482685135,0.01641596825151229,2.7195180504955494,2.7838686460414777,1.0,0.9972506372193501,0.47825,0.08260605872630049,0.9438237517311538,0.0
nonlinear_linear_learner,linear,0,ipw,2.742629604634315,0.07535144647260568,2.594940769548008,2.8903184397206223,1.0,0.9972506372193501,0.47825,0.08260605872630049,0.9438237517311538,0.0
nonlinear_linear_learner,linear,0,aipw,2.9512454732296454,0.08926029384838069,2.7762952972868193,3.1261956491724714,1.0,0.9972506372193501,0.47825,0.08260605872630049,0.9438237517311538,0.0
nonlinear_linear_learner,linear,1,difference-in-means,3.1304985640654115,0.06959990379515478,2.994082752626908,3.266914375503915,1.0,0.9664395959324084,0.4585,0.0971927038724324,0.891299205729022,0.0
nonlinear_linear_learner,linear,1,outcome-regression,2.6446702216743434,0.016527467599877582,2.6122763851785833,2.6770640581701035,1.0,0.9664395959324084,0.4585,0.0971927038724324,0.891299205729022,0.0
nonlinear_linear_learner,linear,1,ipw,2.61315046322814,0.06912559510268741,2.4776642968268727,2.748636629629407,1.0,0.9664395959324084,0.4585,0.0971927038724324,0.891299205729022,0.0
nonlinear_linear_learner,linear,1,aipw,2.816626109150895,0.07674149155326958,2.6662127857064863,2.9670394325953033,1.0,0.9664395959324084,0.4585,0.0971927038724324,0.891299205729022,0.0
nonlinear_linear_learner,linear,2,difference-in-means,3.272057535883304,0.07284662214628283,3.1292781564765897,3.4148369152900186,1.0,1.012029879596719,0.47175,0.06181151313312971,0.8651847185464815,0.0
nonlinear_linear_learner,linear,2,outcome-regression,2.756870083180446,0.01809839179112053,2.7213972352698494,2.792342931091042,1.0,1.012029879596719,0.47175,0.06181151313312971,0.8651847185464815,0.0
nonlinear_linear_learner,linear,2,ipw,2.718630211221736,0.07315113337012716,2.575253989816287,2.8620064326271852,1.0,1.012029879596719,0.47175,0.06181151313312971,0.8651847185464815,0.0
nonlinear_linear_learner,linear,2,aipw,2.938084173222892,0.08565861152844123,2.770193294627147,3.105975051818637,1.0,1.012029879596719,0.47175,0.06181151313312971,0.8651847185464815,0.0
nonlinear_gbm_learner,gbm,0,difference-in-means,3.2790217219462545,0.06975012550566687,3.1423114759551476,3.4157319679373614,1.0,0.9972506372193501,0.47825,0.04153616008766145,0.99,0.00025
nonlinear_gbm_learner,gbm,0,outcome-regression,1.6135072580708825,0.020486548949726697,1.5733536221294182,1.6536608940123467,1.0,0.9972506372193501,0.47825,0.04153616008766145,0.99,0.00025
nonlinear_gbm_learner,gbm,0,ipw,1.6532760839269294,0.0935182977284762,1.469980220379116,1.8365719474747428,1.0,0.9972506372193501,0.47825,0.04153616008766145,0.99,0.00025
nonlinear_gbm_learner,gbm,0,aipw,1.3241402187208606,0.05803658740832721,1.2103885074005394,1.4378919300411819,1.0,0.9972506372193501,0.47825,0.04153616008766145,0.99,0.00025
nonlinear_gbm_learner,gbm,1,difference-in-means,3.1304985640654115,0.06959990379515478,2.994082752626908,3.266914375503915,1.0,0.9664395959324084,0.4585,0.03751351039153915,0.99,0.0005
nonlinear_gbm_learner,gbm,1,outcome-regression,1.5066328286661645,0.01813670688669728,1.471084883168238,1.5421807741640912,1.0,0.9664395959324084,0.4585,0.03751351039153915,0.99,0.0005
nonlinear_gbm_learner,gbm,1,ipw,1.6894676080086357,0.08818309960529987,1.516628732782248,1.8623064832350233,1.0,0.9664395959324084,0.4585,0.03751351039153915,0.99,0.0005
nonlinear_gbm_learner,gbm,1,aipw,1.3488672432833915,0.04604378958832643,1.2586214156902717,1.4391130708765112,1.0,0.9664395959324084,0.4585,0.03751351039153915,0.99,0.0005
nonlinear_gbm_learner,gbm,2,difference-in-means,3.272057535883304,0.07284662214628283,3.1292781564765897,3.4148369152900186,1.0,1.012029879596719,0.47175,0.05813133506080665,0.99,0.00075
nonlinear_gbm_learner,gbm,2,outcome-regression,1.5524435432402177,0.020782547680687203,1.5117097497860708,1.5931773366943647,1.0,1.012029879596719,0.47175,0.05813133506080665,0.99,0.00075
nonlinear_gbm_learner,gbm,2,ipw,1.6604437511193624,0.09274806742489443,1.4786575389665693,1.8422299632721555,1.0,1.012029879596719,0.47175,0.05813133506080665,0.99,0.00075
nonlinear_gbm_learner,gbm,2,aipw,1.3636532141678157,0.050148495470849035,1.2653621630449516,1.4619442652906798,1.0,1.012029879596719,0.47175,0.05813133506080665,0.99,0.00075
