condition,learner,seed,estimator,estimate,se,ci_low,ci_high,true_ate,true_sample_ate,treatment_rate,min_propensity,max_propensity,clipped_fraction
linear_low_confounding,linear,19,ipw,0.9466867315701797,0.05636200872247421,0.8362171944741302,1.0571562686662292,1.0,0.9937085342950533,0.50125,0.11783809938710975,0.862146313846317,0.0
linear_low_confounding,linear,19,aipw,0.9468047420017001,0.03506874610158053,0.8780699996426022,1.0155394843607979,1.0,0.9937085342950533,0.50125,0.11783809938710975,0.862146313846317,0.0
linear_low_confounding,linear,20,difference-in-means,1.5626809328217903,0.051848887943523894,1.4610571124524836,1.664304753191097,1.0,0.9903578896561027,0.491,0.1588606351378836,0.8602193083109393,0.0
linear_low_confounding,linear,20,outcome-regression,0.9639785845851236,0.011338480762079358,0.9417551622914481,0.9862020068787992,1.0,0.9903578896561027,0.491,0.1588606351378836,0.8602193083109393,0.0
linear_low_confounding,linear,20,ipw,0.9637256533534229,0.05610136497774182,0.8537669779970489,1.0736843287097968,1.0,0.9903578896561027,0.491,0.1588606351378836,0.8602193083109393,0.0
linear_low_confounding,linear,20,aipw,0.9671899635351549,0.035251389144159546,0.8980972408126021,1.0362826862577075,1.0,0.9903578896561027,0.491,0.1588606351378836,0.8602193083109393,0.0
linear_low_confounding,linear,21,difference-in-means,1.6934762773855665,0.05026855655463415,1.5949499065384836,1.7920026482326494,1.0,1.0194351158760802,0.49225,0.09206395420315287,0.8710301395742307,0.0
linear_low_confounding,linear,21,outcome-regression,1.0702610714607872,0.010385999778000954,1.0499045118959054,1.090617631025669,1.0,1.0194351158760802,0.49225,0.09206395420315287,0.8710301395742307,0.0
linear_low_confounding,linear,21,ipw,1.0678185109471494,0.05518074035646222,0.9596642598484835,1.1759727620458154,1.0,1.0194351158760802,0.49225,0.09206395420315287,0.8710301395742307,0.0
linear_low_confounding,linear,21,aipw,1.071701818858525,0.03378936546081211,1.0054746625553332,1.1379289751617168,1.0,1.0194351158760802,0.49225,0.09206395420315287,0.8710301395742307,0.0
linear_low_confounding,linear,22,difference-in-means,1.5236865386266796,0.05063627070207103,1.4244394480506204,1.6229336292027388,1.0,1.0095360211518019,0.51175,0.13467809289507898,0.8524942981598106,0.0
linear_low_confounding,linear,22,outcome-regression,1.0061765802605604,0.011564018003271965,0.9835111049741474,1.0288420555469735,1.0,1.0095360211518019,0.51175,0.13467809289507898,0.8524942981598106,0.0
linear_low_confounding,linear,22,ipw,1.0099208743565666,0.05390144155205327,0.9042740489145422,1.115567699798591,1.0,1.0095360211518019,0.51175,0.13467809289507898,0.8524942981598106,0.0
linear_low_confounding,linear,22,aipw,1.0083715675058822,0.033914433552236736,0.9418992777434982,1.0748438572682661,1.0,1.0095360211518019,0.51175,0.13467809289507898,0.8524942981598106,0.0
linear_low_confounding,linear,23,difference-in-means,1.638656958272346,0.05077643128200433,1.5391351529596176,1.7381787635850745,1.0,0.9985869737922344,0.49425,0.11364302772153527,0.879498965957032,0.0
linear_low_confounding,linear,23,outcome-regression,1.0074936533276906,0.012234330588647023,0.9835143653739424,1.0314729412814387,1.0,0.9985869737922344,0.49425,0.11364302772153527,0.879498965957032,0.0
linear_low_confounding,linear,23,ipw,1.0016180220292235,0.057010351537299,0.8898777330161174,1.1133583110423295,1.0,0.9985869737922344,0.49425,0.11364302772153527,0.879498965957032,0.0
linear_low_confounding,linear,23,aipw,1.002160360709273,0.0352581314646648,0.93305442303853,1.071266298380016,1.0,0.9985869737922344,0.49425,0.11364302772153527,0.879498965957032,0.0
linear_low_confounding,linear,24,difference-in-means,1.6113374049168834,0.050896093299240705,1.5115810620503716,1.7110937477833952,1.0,1.007892108106809,0.4995,0.13853612377712682,0.8446737968842278,0.0
linear_low_confounding,linear,24,outcome-regression,1.0238515039639804,0.010672414766636816,1.0029335710213723,1.0447694369065885,1.0,1.007892108106809,0.4995,0.13853612377712682,0.8446737968842278,0.0
linear_low_confounding,linear,24,ipw,1.0369304865319477,0.054530115885524505,0.9300514593963197,1.1438095136675757,1.0,1.007892108106809,0.4995,0.13853612377712682,0.8446737968842278,0.0
linear_low_confounding,linear,24,aipw,1.0222685892501653,0.034324899338987074,0.9549917865457507,1.08954539195458,1.0,1.007892108106809,0.4995,0.13853612377712682,0.8446737968842278,0.0
linear_low_confounding,linear,25,difference-in-means,1.5499557092913385,0.05004482628316918,1.4518678497763269,1.6480435688063502,1.0,0.9898219083260726,0.5035,0.10686144799429274,0.8624606099400961,0.0
linear_low_confounding,linear,25,outcome-regression,0.993438058076329,0.010468762786165263,0.9729192830154451,1.0139568331372129,1.0,0.9898219083260726,0.5035,0.10686144799429274,0.8624606099400961,0.0
