condition,learner,seed,pehe,cate_rank_corr,value_learned_policy,value_treat_all,value_treat_none,fraction_treated_by_policy,value_oracle_policy,regret_vs_oracle
linear_moderate_confounding,linear,7,0.073682445856068,0.9940119308132456,1.0236465828295072,0.9813242343715617,0.010236726305782944,0.9245,1.0211767328193038,-0.0024698500102033893
linear_moderate_confounding,linear,8,0.10882912278228088,0.9893322721457668,1.0259862149152361,0.9880341244060601,0.011243316302762763,0.918,1.024166768230024,-0.0018194466852121671
linear_moderate_confounding,linear,9,0.07267396278514712,0.9946800008549999,1.0291175712825802,1.0174235656313968,0.0438965154078277,0.92125,1.0274537179449756,-0.0016638533376045483
linear_moderate_confounding,linear,10,0.07029969338000054,0.9948352660522042,1.009427657410132,0.9891868396688123,0.01960283174552887,0.921,1.010938690683848,0.0015110332737160448
linear_moderate_confounding,linear,11,0.0906660834511838,0.993751151484447,1.025669528446549,1.0059316345053324,-0.03654341912132747,0.93,1.0275191957454208,0.0018496672988719265
linear_moderate_confounding,linear,12,0.08749718634180899,0.992089006443063,1.0703390453824964,1.040006621661005,0.005059165296267829,0.93725,1.0703190069253652,-2.0038457131166254e-05
linear_moderate_confounding,linear,13,0.10816109527437566,0.9887984196749012,1.0422419611559925,1.0035518618946295,-0.0008449529420127462,0.91625,1.047100159605135,0.004858198449142481
linear_moderate_confounding,linear,14,0.07438989947343941,0.9948392958024558,1.0713815579383428,1.0416298954111585,0.0002650850366839812,0.937,1.0756503033912026,0.004268745452859823
linear_moderate_confounding,linear,15,0.08598885670620372,0.9941620453851279,1.0636453778269852,1.0242004302146002,0.05946142369578618,0.91375,1.0614126307810667,-0.0022327470459184706
linear_moderate_confounding,linear,16,0.07925888703427632,0.9939610686225666,1.0188937076898454,1.002785789895998,-0.0014156892706062862,0.92475,1.014462126340191,-0.00443158134965449
linear_moderate_confounding,linear,17,0.09637259845584978,0.9958202921137682,1.0042140365032453,0.9871591472616573,0.03873333446915564,0.924,1.004833791523115,0.0006197550198696611
linear_moderate_confounding,linear,18,0.07722096629597294,0.9952094030130877,0.99548220897696,0.9716393847037937,-0.059827607571897284,0.9365,0.99441799719037,-0.001064211786589997
