sweep,value,seed,estimator,estimate,se,ci_low,ci_high,truth,min_propensity,max_propensity,clipped_fraction,treatment_rate,unmeasured
confounding_strength,0.0,23,ipw,1.0108213440962768,0.05166795822576614,0.9095521459737751,1.1120905422187783,1.0,0.40322002978506577,0.5788672346138353,0.0,0.4985,False
confounding_strength,0.0,23,aipw,1.009411359355965,0.03391737365547942,0.9429333069912254,1.0758894117207047,1.0,0.40322002978506577,0.5788672346138353,0.0,0.4985,False
confounding_strength,0.0,24,difference-in-means,0.9954345985835499,0.05176468987922286,0.8939758064202731,1.0968933907468266,1.0,0.421222545411375,0.5775456918084071,0.0,0.498,False
confounding_strength,0.0,24,outcome-regression,1.042089541274263,0.010500571997418096,1.0215084201593236,1.0626706623892024,1.0,0.421222545411375,0.5775456918084071,0.0,0.498,False
confounding_strength,0.0,24,ipw,1.0418732750054969,0.051891608244197425,0.94016572284687,1.143580827164124,1.0,0.421222545411375,0.5775456918084071,0.0,0.498,False
confounding_strength,0.0,24,aipw,1.0409704157977395,0.03330426254489441,0.9756940612097464,1.1062467703857326,1.0,0.421222545411375,0.5775456918084071,0.0,0.498,False
confounding_strength,0.0,25,difference-in-means,0.9968405033734294,0.05090126115012118,0.897074031519192,1.096606975227667,1.0,0.4399570328603696,0.5728804947453169,0.0,0.50725,False
confounding_strength,0.0,25,outcome-regression,1.0132219961387665,0.010472563212120615,0.9926957722430101,1.033748220034523,1.0,0.4399570328603696,0.5728804947453169,0.0,0.50725,False
confounding_strength,0.0,25,ipw,1.011785374077202,0.05095470003134536,0.9119141620157651,1.111656586138639,1.0,0.4399570328603696,0.5728804947453169,0.0,0.50725,False
confounding_strength,0.0,25,aipw,1.0107560917494844,0.03275816192522035,0.9465500943760525,1.0749620891229164,1.0,0.4399570328603696,0.5728804947453169,0.0,0.50725,False
confounding_strength,0.0,26,difference-in-means,0.9686300778896482,0.05244160354857886,0.8658445349344336,1.0714156208448626,1.0,0.4376986079925804,0.5724378715152219,0.0,0.50425,False
confounding_strength,0.0,26,outcome-regression,0.9985138619671021,0.011246138607273873,0.9764714302968454,1.020556293637359,1.0,0.4376986079925804,0.5724378715152219,0.0,0.50425,False
confounding_strength,0.0,26,ipw,0.9983020350958903,0.05237633025195368,0.8956444278020611,1.1009596423897194,1.0,0.4376986079925804,0.5724378715152219,0.0,0.50425,False
confounding_strength,0.0,26,aipw,0.9993025393154932,0.03370154820332373,0.9332475048369787,1.0653575737940078,1.0,0.4376986079925804,0.5724378715152219,0.0,0.50425,False
confounding_strength,0.0,27,difference-in-means,1.0002692376186277,0.052724117496639855,0.8969299673252136,1.103608507912042,1.0,0.41684286941276694,0.5853103557826309,0.0,0.5,False
confounding_strength,0.0,27,outcome-regression,1.028088972479243,0.01089983815298638,1.0067252896993897,1.0494526552590964,1.0,0.41684286941276694,0.5853103557826309,0.0,0.5,False
confounding_strength,0.0,27,ipw,1.026753624031414,0.052788486793931395,0.9232881899153084,1.1302190581475196,1.0,0.41684286941276694,0.5853103557826309,0.0,0.5,False
confounding_strength,0.0,27,aipw,1.0267459819367586,0.033823850350393266,0.9604512352499878,1.0930407286235293,1.0,0.41684286941276694,0.5853103557826309,0.0,0.5,False
confounding_strength,0.0,28,difference-in-means,1.0080991304656806,0.05222053863361727,0.9057468747437907,1.1104513861875704,1.0,0.4221296812814936,0.5579460096595898,0.0,0.486,False
confounding_strength,0.0,28,outcome-regression,1.0497976073524542,0.010949934745212863,1.028335735251837,1.0712594794530714,1.0,0.4221296812814936,0.5579460096595898,0.0,0.486,False
confounding_strength,0.0,28,ipw,1.0495851670262428,0.05219674817251563,0.9472795406081123,1.1518907934443734,1.0,0.4221296812814936,0.5579460096595898,0.0,0.486,False
confounding_strength,0.0,28,aipw,1.050267812366306,0.03377929358765278,0.9840603969345066,1.1164752277981056,1.0,0.4221296812814936,0.5579460096595898,0.0,0.486,False
confounding_strength,0.0,29,difference-in-means,1.018838521070035,0.051281345446882044,0.9183270839941462,1.1193499581459239,1.0,0.40874338911261376,0.5897007878564212,0.0,0.4865,False
confounding_strength,0.0,29,outcome-regression,1.0002956300284938,0.01122459303312675,0.9782954276835654,1.0222958323734221,1.0,0.40874338911261376,0.5897007878564212,0.0,0.4865,False
confounding_strength,0.0,29,ipw,0.9998909826207437,0.05145485566034922,0.8990394655264593,1.1007424997150281,1.0,0.40874338911261376,0.5897007878564212,0.0,0.4865,False
confounding_strength,0.0,29,aipw,1.0028389386898886,0.03331540823438165,0.9375407385505006,1.0681371388292766,1.0,0.40874338911261376,0.5897007878564212,0.0,0.4865,False
confounding_strength,0.0,30,difference-in-means,1.0192355334983996,0.05210862441688651,0.9171026296413021,1.121368437355497,1.0,0.45356581804915064,0.5836989542932474,0.0,0.5175,False
confounding_strength,0.0,30,outcome-regression,1.002774499578921,0.011477275696579818,0.9802790392136245,1.0252699599442174,1.0,0.45356581804915064,0.5836989542932474,0.0,0.5175,False
confounding_strength,0.0,30,ipw,1.0006616850726908,0.052163559425244976,0.8984211085992106,1.102902261546171,1.0,0.45356581804915064,0.5836989542932474,0.0,0.5175,False
confounding_strength,0.0,30,aipw,1.0014116551822756,0.03383712463145784,0.9350908909046183,1.067732419459933,1.0,0.45356581804915064,0.5836989542932474,0.0,0.5175,False
confounding_strength,0.0,31,difference-in-means,0.8756612014035621,0.05218388868041262,0.7733807795899533,0.9779416232171708,1.0,0.41632774639644166,0.6118659039948252,0.0,0.51375,False
