truth,mean_estimate,mean_bias,mean_abs_bias,rmse,empirical_sd,mean_se,ci_coverage_95,n_reps,sweep,value,estimator,mean_min_propensity,mean_treatment_rate
1.0,0.9944719083202274,-0.005528091679772803,0.07082647667065009,0.08709980033211552,0.08765774402991822,0.07879691022771633,0.95,60,sample_size,1000,aipw,0.03656074125424062,0.5005
1.0,2.01793947235489,1.0179394723548902,1.0179394723548902,1.0220466022568804,0.09230653321727288,0.09844849883645271,0.0,60,sample_size,1000,difference-in-means,0.03656074125424062,0.5005
1.0,0.971608542924827,-0.028391457075173057,0.07881518295142421,0.09676639091121818,0.09328828786442536,0.14203314447819385,1.0,60,sample_size,1000,ipw,0.03656074125424062,0.5005
1.0,0.9939854642460685,-0.006014535753931464,0.06765308539903798,0.08151886666185945,0.08198274507272671,0.022029252182980637,0.35,60,sample_size,1000,outcome-regression,0.03656074125424062,0.5005
1.0,1.0034139975091227,0.003413997509122581,0.03556438562990394,0.044648473297851377,0.04489344207331195,0.05487692645864621,0.9833333333333333,60,sample_size,2000,aipw,0.03281530502294615,0.49993333333333323
1.0,2.0027306430478435,1.0027306430478435,1.0027306430478435,1.0051006114431886,0.06956399285084433,0.06940801443535917,0.0,60,sample_size,2000,difference-in-means,0.03281530502294615,0.49993333333333323
1.0,0.9966829002302505,-0.0033170997697495597,0.0499128580144081,0.06379056321608362,0.06424185871687822,0.09791733317980149,1.0,60,sample_size,2000,ipw,0.03281530502294615,0.49993333333333323
1.0,1.0019876054865569,0.0019876054865569687,0.03527455402264801,0.04422628172276449,0.04455444301820165,0.015830989112584008,0.55,60,sample_size,2000,outcome-regression,0.03281530502294615,0.49993333333333323
1.0,1.001674130399159,0.001674130399158887,0.027676996884286747,0.03420857387817855,0.034455923416644045,0.03864818356894103,0.9833333333333333,60,sample_size,4000,aipw,0.025598909755905994,0.5007791666666667
1.0,2.006957797875114,1.006957797875114,1.006957797875114,1.0081023602008705,0.04842987529845378,0.04912329207229659,0.0,60,sample_size,4000,difference-in-means,0.025598909755905994,0.5007791666666667
1.0,0.9933352927930524,-0.006664707206947503,0.03770187266307757,0.04557683470547617,0.04546739796354693,0.06946999738907077,1.0,60,sample_size,4000,ipw,0.025598909755905994,0.5007791666666667
1.0,1.0021889454901745,0.00218894549017441,0.026961277457355732,0.03406651695795734,0.03428301099182509,0.011109658012879338,0.48333333333333334,60,sample_size,4000,outcome-regression,0.025598909755905994,0.5007791666666667
1.0,1.0036539552191457,0.003653955219145801,0.024083484831827616,0.027948198624753774,0.02794213908361286,0.02684678877463039,0.9666666666666667,60,sample_size,8000,aipw,0.02300838568186605,0.49982291666666673
1.0,2.004314665362418,1.004314665362418,1.004314665362418,1.0049223473479796,0.03523736177836745,0.03473036087269201,0.0,60,sample_size,8000,difference-in-means,0.02300838568186605,0.49982291666666673
1.0,1.0032859068399635,0.0032859068399636576,0.026115399281904365,0.031216168276664163,0.03130471310347602,0.04840211408733144,1.0,60,sample_size,8000,ipw,0.02300838568186605,0.49982291666666673
1.0,1.0041995483748265,0.0041995483748264026,0.024177415891749966,0.027523220091184852,0.027430493442090514,0.007844503413980214,0.26666666666666666,60,sample_size,8000,outcome-regression,0.02300838568186605,0.49982291666666673
1.0,1.001674130399159,0.001674130399158887,0.027676996884286747,0.03420857387817855,0.034455923416644045,0.03864818356894103,0.9833333333333333,60,selection_bias,0.0,aipw,0.025598909755905994,0.5007791666666667
1.0,2.006957797875114,1.006957797875114,1.006957797875114,1.0081023602008705,0.04842987529845378,0.04912329207229659,0.0,60,selection_bias,0.0,difference-in-means,0.025598909755905994,0.5007791666666667
1.0,0.9933352927930524,-0.006664707206947503,0.03770187266307757,0.04557683470547617,0.04546739796354693,0.06946999738907077,1.0,60,selection_bias,0.0,ipw,0.025598909755905994,0.5007791666666667
1.0,1.0021889454901745,0.00218894549017441,0.026961277457355732,0.03406651695795734,0.03428301099182509,0.011109658012879338,0.48333333333333334,60,selection_bias,0.0,outcome-regression,0.025598909755905994,0.5007791666666667
1.0,1.0677387466064632,0.06773874660646324,0.07686076328674582,0.08878499837368398,0.057879812449771945,0.05765910947010236,0.7833333333333333,60,selection_bias,0.5,aipw,0.05522235485846328,0.6223892497324115
1.0,2.0101188626078708,1.0101188626078705,1.0101188626078705,1.0123379106937445,0.06755734913333064,0.06828569886989443,0.0,60,selection_bias,0.5,difference-in-means,0.05522235485846328,0.6223892497324115
1.0,1.0615161258647547,0.06151612586475477,0.0737209087400686,0.09252796153038124,0.06970049672920312,0.09522185380819148,0.9333333333333333,60,selection_bias,0.5,ipw,0.05522235485846328,0.6223892497324115
1.0,1.0667446875228692,0.06674468752286927,0.07632485283333162,0.08712781123302786,0.056476203277816925,0.015532704060127252,0.11666666666666667,60,selection_bias,0.5,outcome-regression,0.05522235485846328,0.6223892497324115
1.0,1.0264811017901174,0.026481101790117458,0.05202225897737646,0.068017771422697,0.06317987619937082,0.06055574339335109,0.9166666666666666,60,selection_bias,1.0,aipw,0.12370758845957135,0.7156519749457588
1.0,1.7757526371457886,0.7757526371457886,0.7757526371457886,0.7786520093984844,0.06769921789337756,0.06912883181416997,0.0,60,selection_bias,1.0,difference-in-means,0.12370758845957135,0.7156519749457588
1.0,1.0145654253789393,0.014565425378939446,0.05480962643725667,0.07118317560506789,0.07026506381289097,0.09043267034737294,0.9666666666666667,60,selection_bias,1.0,ipw,0.12370758845957135,0.7156519749457588
1.0,1.021300638116292,0.02130063811629198,0.050628004095447446,0.06301065584485531,0.059801583498995704,0.015009090074876138,0.35,60,selection_bias,1.0,outcome-regression,0.12370758845957135,0.7156519749457588
1.0,0.8090086669837192,-0.19099133301628082,0.19099133301628082,0.20091396572040696,0.06288595273742142,0.06254992045953571,0.16666666666666666,60,selection_bias,2.0,aipw,0.41852659071280074,0.8168058858595545
1.0,1.2069707508516205,0.20697075085162064,0.20697075085162064,0.21964731589547754,0.07416005369975064,0.07188379564752273,0.23333333333333334,60,selection_bias,2.0,difference-in-means,0.41852659071280074,0.8168058858595545
1.0,0.7991456472727047,-0.20085435272729515,0.20085435272729515,0.21159360232340185,0.067115242665084,0.08089996096316163,0.25,60,selection_bias,2.0,ipw,0.41852659071280074,0.8168058858595545
1.0,0.8008040775812927,-0.19919592241870718,0.19919592241870718,0.20863185115812466,0.06255763831284675,0.014633047824165319,0.0,60,selection_bias,2.0,outcome-regression,0.41852659071280074,0.8168058858595545
1.0,1.0101071269484108,0.010107126948410696,0.06339555299465148,0.07881306729599495,0.07882191187294846,0.07401523997545133,0.9166666666666666,60,treatment_intercept,-2.5,aipw,0.010000000000000002,0.10499999999999998
1.0,2.2555352375651627,1.2555352375651632,1.2555352375651632,1.2586368239699215,0.08905105306973184,0.0894448313068453,0.0,60,treatment_intercept,-2.5,difference-in-means,0.010000000000000002,0.10499999999999998
1.0,1.0479067398279054,0.04790673982790542,0.09021693086579854,0.11501116817444239,0.10544102577195437,0.1455417573564455,0.9666666666666667,60,treatment_intercept,-2.5,ipw,0.010000000000000002,0.10499999999999998
1.0,1.007690477522993,0.007690477522992911,0.05811687320252026,0.07202298612366853,0.07221554660760904,0.011422739446581036,0.25,60,treatment_intercept,-2.5,outcome-regression,0.010000000000000002,0.10499999999999998
1.0,1.0065223395861387,0.006522339586138866,0.03627616079358632,0.04531881251707611,0.04522546741227363,0.05073082041985328,0.95,60,treatment_intercept,-1.5,aipw,0.01002517862371768,0.22142083333333332
1.0,2.1541157339057864,1.1541157339057866,1.1541157339057866,1.1553382525867288,0.053583617290757925,0.06349582375825134,0.0,60,treatment_intercept,-1.5,difference-in-means,0.01002517862371768,0.22142083333333332
1.0,1.0196782817404215,0.019678281740421577,0.06475926621434878,0.07851066181782693,0.07664593423040766,0.10185134927215095,0.9833333333333333,60,treatment_intercept,-1.5,ipw,0.01002517862371768,0.22142083333333332
