seed,strategy,realised_value,regret_vs_oracle,regret_pct,spend_search,spend_email,spend_social,spend_display,spend_retargeting
216,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
217,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
217,causal,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
217,causal_lcb,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
217,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
217,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
218,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
218,causal,233.72397211685023,2.1237064435059096,0.9004567933291863,9,6,5,0.0,0.0
218,causal_lcb,233.72397211685023,2.1237064435059096,0.9004567933291863,9,6,5,0.0,0.0
218,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
218,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
219,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
219,causal,234.54396842136072,1.3037101389954273,0.5527763287531333,8,5,5,0.0,2.0
219,causal_lcb,234.54396842136072,1.3037101389954273,0.5527763287531333,8,5,5,0.0,2.0
219,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
219,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
220,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
220,causal,234.70495745359634,1.142721106759808,0.484516580250067,8,6,6,0.0,0.0
220,causal_lcb,234.70495745359634,1.142721106759808,0.484516580250067,8,6,6,0.0,0.0
220,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
220,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
221,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
221,causal,234.70495745359634,1.142721106759808,0.484516580250067,8,6,6,0.0,0.0
221,causal_lcb,234.70495745359634,1.142721106759808,0.484516580250067,8,6,6,0.0,0.0
221,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
221,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
222,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
222,causal,234.15099621579301,1.6966823445631292,0.7193975174654639,7,7,6,0.0,0.0
222,causal_lcb,234.15099621579301,1.6966823445631292,0.7193975174654639,7,7,6,0.0,0.0
222,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
222,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
223,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
223,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
223,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
223,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
223,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
224,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
224,causal,235.35392779350406,0.49375076685208796,0.20935154836630349,7,6,5,0.0,2.0
224,causal_lcb,235.35392779350406,0.49375076685208796,0.20935154836630349,7,6,5,0.0,2.0
224,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
224,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
225,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
225,causal,234.050595058544,1.7970835018121534,0.7619678568734604,9,5,5,0.0,1.0
225,causal_lcb,234.050595058544,1.7970835018121534,0.7619678568734604,9,5,5,0.0,1.0
225,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
225,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
226,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
226,causal,235.35392779350406,0.49375076685208796,0.20935154836630349,7,6,5,0.0,2.0
226,causal_lcb,235.35392779350406,0.49375076685208796,0.20935154836630349,7,6,5,0.0,2.0
226,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
226,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
227,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
227,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
227,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
227,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
227,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
228,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
228,causal,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
228,causal_lcb,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
228,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
228,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
229,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
229,causal,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
229,causal_lcb,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
229,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
229,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
230,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
230,causal,235.03158039529006,0.8160981650660801,0.34602764379435313,8,5,6,0.0,1.0
230,causal_lcb,235.03158039529006,0.8160981650660801,0.34602764379435313,8,5,6,0.0,1.0
230,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
