experiment_id,domain,heterogeneity,aggregation,seed,final_auroc,final_accuracy,worst_client_auroc,client_dispersion,convergence_round,runtime_ms,communication_bytes
P2-E1,clinical-sim,iid,trimmed-mean,20260202,0.816863,0.755,0.801342,0.022011,1,33,28800
P2-E1,clinical-sim,iid,trimmed-mean,20260303,0.819084,0.7675,0.789699,0.021388,1,31,28800
P2-E1,clinical-sim,iid,trimmed-mean,20260404,0.815825,0.749167,0.81257,0.015869,1,32,28800
P2-E1,clinical-sim,iid,trimmed-mean,20260505,0.817484,0.7625,0.804594,0.021043,1,32,28800
P2-E1,clinical-sim,iid,trimmed-mean,20260606,0.790225,0.7225,0.785358,0.01948,1,32,28800
P2-E1,clinical-sim,iid,trimmed-mean,20260707,0.823926,0.758333,0.781644,0.028232,1,31,28800
P2-E1,clinical-sim,iid,trimmed-mean,20260808,0.810795,0.76,0.781024,0.030885,1,32,28800
P2-E1,clinical-sim,iid,trimmed-mean,20260909,0.815821,0.764167,0.75618,0.030004,1,32,28800
P2-E1,clinical-sim,iid,trimmed-mean,20261010,0.804566,0.756667,0.787871,0.026349,1,32,28800
P2-E1,clinical-sim,iid,trimmed-mean,20261111,0.809717,0.755,0.784072,0.025049,1,32,28800
P2-E1,clinical-sim,iid,trimmed-mean,20261212,0.821387,0.774167,0.780613,0.02627,1,31,28800
P2-E1,clinical-sim,iid,trimmed-mean,20261313,0.821827,0.75,0.780574,0.023013,1,31,28800
P2-E1,clinical-sim,iid,trimmed-mean,20261414,0.804646,0.746667,0.786673,0.021025,1,31,28800
P2-E1,clinical-sim,iid,trimmed-mean,20261515,0.824465,0.76,0.79933,0.020362,1,31,28800
P2-E1,clinical-sim,iid,trimmed-mean,20261616,0.808518,0.750833,0.809413,0.018332,1,31,28800
P2-E1,clinical-sim,iid,trimmed-mean,20261717,0.815295,0.76,0.792918,0.025335,1,31,28800
P2-E1,clinical-sim,iid,trimmed-mean,20261818,0.818299,0.765833,0.795718,0.022477,1,31,28800
P2-E1,clinical-sim,iid,trimmed-mean,20261919,0.819868,0.755833,0.763397,0.025849,1,31,28800
P2-E1,clinical-sim,iid,trust-weighted,20260000,0.830149,0.764167,0.774286,0.032147,1,35,28800
P2-E1,clinical-sim,iid,trust-weighted,20260101,0.80946,0.765,0.799644,0.017971,1,32,28800
P2-E1,clinical-sim,iid,trust-weighted,20260202,0.816966,0.758333,0.80152,0.022129,1,31,28800
P2-E1,clinical-sim,iid,trust-weighted,20260303,0.818874,0.7675,0.789564,0.021519,1,32,28800
P2-E1,clinical-sim,iid,trust-weighted,20260404,0.815586,0.750833,0.812391,0.015891,1,31,28800
P2-E1,clinical-sim,iid,trust-weighted,20260505,0.817602,0.761667,0.804683,0.020838,1,34,28800
P2-E1,clinical-sim,iid,trust-weighted,20260606,0.790576,0.725,0.785403,0.019203,1,33,28800
P2-E1,clinical-sim,iid,trust-weighted,20260707,0.825015,0.756667,0.782133,0.028044,1,33,28800
P2-E1,clinical-sim,iid,trust-weighted,20260808,0.810606,0.758333,0.782224,0.030804,1,34,28800
P2-E1,clinical-sim,iid,trust-weighted,20260909,0.815818,0.759167,0.755735,0.029957,1,34,28800
P2-E1,clinical-sim,iid,trust-weighted,20261010,0.805703,0.755833,0.787471,0.026622,1,32,28800
P2-E1,clinical-sim,iid,trust-weighted,20261111,0.809618,0.7575,0.783844,0.025335,1,32,28800
P2-E1,clinical-sim,iid,trust-weighted,20261212,0.821824,0.769167,0.779303,0.02664,1,34,28800
