experiment_id,domain,aggregation,attack_id,adversarial_fraction,seed,clean_auroc,attacked_auroc,abs_degradation,rel_degradation,worst_client_auroc,runtime_ms
P2-E3,clinical-sim,fedavg,scale-10,0.1,20260808,0.803279,0.803396,-0.000117,-0.000386,0.479693,31
P2-E3,clinical-sim,fedavg,scale-10,0.1,20260909,0.773178,0.794686,-0.021509,-0.078735,0.5275,30
P2-E3,clinical-sim,fedavg,scale-10,0.1,20261010,0.79857,0.798526,0.000045,0.000149,0.476597,30
P2-E3,clinical-sim,fedavg,scale-10,0.1,20261111,0.784578,0.803246,-0.018668,-0.065599,0.548571,30
P2-E3,clinical-sim,fedavg,scale-10,0.1,20261212,0.822766,0.818491,0.004275,0.013244,0.510542,30
P2-E3,clinical-sim,fedavg,scale-10,0.1,20261313,0.817373,0.821469,-0.004096,-0.012906,0.550054,30
P2-E3,clinical-sim,fedavg,scale-10,0.1,20261414,0.770017,0.753628,0.016389,0.060696,0.452598,30
P2-E3,clinical-sim,fedavg,scale-10,0.1,20261515,0.821934,0.803907,0.018027,0.055997,0.545923,31
P2-E3,clinical-sim,fedavg,scale-10,0.1,20261616,0.808689,0.802371,0.006318,0.020467,0.525002,31
P2-E3,clinical-sim,fedavg,scale-10,0.1,20261717,0.8157,0.801125,0.014575,0.046168,0.471564,31
P2-E3,clinical-sim,fedavg,scale-10,0.1,20261818,0.815326,0.815079,0.000246,0.000781,0.554503,31
P2-E3,clinical-sim,fedavg,scale-10,0.1,20261919,0.801767,0.818626,-0.01686,-0.05587,0.564573,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20260000,0.821075,0.685831,0.135244,0.421222,0.248414,30
P2-E3,clinical-sim,fedavg,scale-10,0.2,20260101,0.7863,0.57687,0.209431,0.731507,0.26967,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20260202,0.810367,0.597585,0.212781,0.68558,0.33617,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20260303,0.79908,0.689849,0.109231,0.365223,0.2481,32
P2-E3,clinical-sim,fedavg,scale-10,0.2,20260404,0.75587,0.577208,0.178661,0.698252,0.158259,32
P2-E3,clinical-sim,fedavg,scale-10,0.2,20260505,0.815793,0.72111,0.094683,0.299826,0.454724,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20260606,0.775435,0.52236,0.253075,0.91882,0.14309,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20260707,0.817994,0.588636,0.229358,0.721265,0.454933,30
P2-E3,clinical-sim,fedavg,scale-10,0.2,20260808,0.803279,0.633017,0.170262,0.561404,0.216764,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20260909,0.773178,0.741781,0.031396,0.114929,0.514423,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20261010,0.79857,0.657231,0.141339,0.473387,0.306939,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20261111,0.784578,0.581917,0.202661,0.712146,0.243333,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20261212,0.822766,0.587633,0.235133,0.728493,0.18895,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20261313,0.817373,0.718337,0.099036,0.31205,0.356139,30
P2-E3,clinical-sim,fedavg,scale-10,0.2,20261414,0.770017,0.602203,0.167814,0.621496,0.42533,30
P2-E3,clinical-sim,fedavg,scale-10,0.2,20261515,0.821934,0.702505,0.119429,0.370975,0.487648,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20261616,0.808689,0.666087,0.142602,0.461961,0.268854,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20261717,0.8157,0.687923,0.127776,0.40474,0.445382,31
P2-E3,clinical-sim,fedavg,scale-10,0.2,20261818,0.815326,0.704393,0.110932,0.351802,0.393665,30
P2-E3,clinical-sim,fedavg,scale-10,0.2,20261919,0.801767,0.5672,0.234567,0.777313,0.251337,31
P2-E3,clinical-sim,fedavg,scale-10,0.3,20260000,0.821075,0.714229,0.106846,0.332776,0.323954,30
P2-E3,clinical-sim,fedavg,scale-10,0.3,20260101,0.7863,0.53925,0.24705,0.862905,0.205544,30
P2-E3,clinical-sim,fedavg,scale-10,0.3,20260202,0.810367,0.563782,0.246585,0.794496,0.332519,30
P2-E3,clinical-sim,fedavg,scale-10,0.3,20260303,0.79908,0.757841,0.04124,0.137888,0.407719,31
P2-E3,clinical-sim,fedavg,scale-10,0.3,20260404,0.75587,0.537094,0.218776,0.855029,0.112679,31
P2-E3,clinical-sim,fedavg,scale-10,0.3,20260505,0.815793,0.742824,0.072969,0.231066,0.477747,31
P2-E3,clinical-sim,fedavg,scale-10,0.3,20260606,0.775435,0.50969,0.265745,0.964821,0.134733,33
P2-E3,clinical-sim,fedavg,scale-10,0.3,20260707,0.817994,0.619945,0.198049,0.622808,0.482243,30
P2-E3,clinical-sim,fedavg,scale-10,0.3,20260808,0.803279,0.660771,0.142508,0.469891,0.238368,30
P2-E3,clinical-sim,fedavg,scale-10,0.3,20260909,0.773178,0.491183,0.281995,1.032276,0.294718,31
P2-E3,clinical-sim,fedavg,scale-10,0.3,20261010,0.79857,0.6979,0.10067,0.337175,0.335907,31
P2-E3,clinical-sim,fedavg,scale-10,0.3,20261111,0.784578,0.622185,0.162393,0.570644,0.345103,31
P2-E3,clinical-sim,fedavg,scale-10,0.3,20261212,0.822766,0.614938,0.207827,0.643895,0.251465,29
P2-E3,clinical-sim,fedavg,scale-10,0.3,20261313,0.817373,0.733605,0.083768,0.263941,0.405537,30
P2-E3,clinical-sim,fedavg,scale-10,0.3,20261414,0.770017,0.592705,0.177312,0.65667,0.264557,30
P2-E3,clinical-sim,fedavg,scale-10,0.3,20261515,0.821934,0.726425,0.095509,0.296672,0.500407,30
P2-E3,clinical-sim,fedavg,scale-10,0.3,20261616,0.808689,0.604379,0.20431,0.661864,0.264551,31
P2-E3,clinical-sim,fedavg,scale-10,0.3,20261717,0.8157,0.630337,0.185363,0.58715,0.285552,30
P2-E3,clinical-sim,fedavg,scale-10,0.3,20261818,0.815326,0.649865,0.16546,0.524729,0.418341,31
P2-E3,clinical-sim,fedavg,scale-10,0.3,20261919,0.801767,0.617161,0.184606,0.611751,0.226538,30
P2-E3,clinical-sim,fedavg,constant-5,0.1,20260000,0.821075,0.732899,0.088175,0.274626,0.547053,31
P2-E3,clinical-sim,fedavg,constant-5,0.1,20260101,0.7863,0.701263,0.085038,0.297022,0.551095,29
P2-E3,clinical-sim,fedavg,constant-5,0.1,20260202,0.810367,0.701282,0.109084,0.35147,0.513238,29
P2-E3,clinical-sim,fedavg,constant-5,0.1,20260303,0.79908,0.71938,0.0797,0.266485,0.53978,30
P2-E3,clinical-sim,fedavg,constant-5,0.1,20260404,0.75587,0.697615,0.058255,0.227674,0.577422,29
P2-E3,clinical-sim,fedavg,constant-5,0.1,20260505,0.815793,0.741724,0.074069,0.23455,0.497736,31
P2-E3,clinical-sim,fedavg,constant-5,0.1,20260606,0.775435,0.703228,0.072206,0.262155,0.522756,30
P2-E3,clinical-sim,fedavg,constant-5,0.1,20260707,0.817994,0.716903,0.101091,0.317901,0.460913,31
P2-E3,clinical-sim,fedavg,constant-5,0.1,20260808,0.803279,0.722598,0.080681,0.266028,0.515516,32
P2-E3,clinical-sim,fedavg,constant-5,0.1,20260909,0.773178,0.665731,0.107446,0.39332,0.469669,31
P2-E3,clinical-sim,fedavg,constant-5,0.1,20261010,0.79857,0.725294,0.073276,0.245422,0.479718,31
P2-E3,clinical-sim,fedavg,constant-5,0.1,20261111,0.784578,0.703964,0.080614,0.283276,0.53558,30
P2-E3,clinical-sim,fedavg,constant-5,0.1,20261212,0.822766,0.694183,0.128583,0.398378,0.546331,35
P2-E3,clinical-sim,fedavg,constant-5,0.1,20261313,0.817373,0.70451,0.112863,0.355616,0.572244,31
P2-E3,clinical-sim,fedavg,constant-5,0.1,20261414,0.770017,0.685076,0.084941,0.314577,0.46359,31
P2-E3,clinical-sim,fedavg,constant-5,0.1,20261515,0.821934,0.745644,0.076289,0.236972,0.538232,31
P2-E3,clinical-sim,fedavg,constant-5,0.1,20261616,0.808689,0.708235,0.100454,0.325421,0.422677,30
P2-E3,clinical-sim,fedavg,constant-5,0.1,20261717,0.8157,0.71715,0.098549,0.312162,0.48413,31
P2-E3,clinical-sim,fedavg,constant-5,0.1,20261818,0.815326,0.754896,0.06043,0.191643,0.546253,32
P2-E3,clinical-sim,fedavg,constant-5,0.1,20261919,0.801767,0.673197,0.12857,0.426057,0.473905,29
P2-E3,clinical-sim,fedavg,constant-5,0.2,20260000,0.821075,0.684411,0.136664,0.425644,0.531516,29
P2-E3,clinical-sim,fedavg,constant-5,0.2,20260101,0.7863,0.64831,0.13799,0.481976,0.527978,28
P2-E3,clinical-sim,fedavg,constant-5,0.2,20260202,0.810367,0.650882,0.159485,0.513858,0.462764,28
P2-E3,clinical-sim,fedavg,constant-5,0.2,20260303,0.79908,0.68732,0.11176,0.373678,0.517447,28
P2-E3,clinical-sim,fedavg,constant-5,0.2,20260404,0.75587,0.651813,0.104057,0.40668,0.538277,27
P2-E3,clinical-sim,fedavg,constant-5,0.2,20260505,0.815793,0.698965,0.116828,0.369951,0.477983,29
P2-E3,clinical-sim,fedavg,constant-5,0.2,20260606,0.775435,0.648999,0.126436,0.45904,0.549654,29
P2-E3,clinical-sim,fedavg,constant-5,0.2,20260707,0.817994,0.652373,0.16562,0.520829,0.464375,29
P2-E3,clinical-sim,fedavg,constant-5,0.2,20260808,0.803279,0.666837,0.136442,0.44989,0.491296,28
P2-E3,clinical-sim,fedavg,constant-5,0.2,20260909,0.773178,0.63263,0.140548,0.514492,0.473936,39
P2-E3,clinical-sim,fedavg,constant-5,0.2,20261010,0.79857,0.675893,0.122677,0.410882,0.472595,28
P2-E3,clinical-sim,fedavg,constant-5,0.2,20261111,0.784578,0.654836,0.129741,0.455908,0.535472,29
