experiment_id,domain,privacy_mode,epsilon_budget,seed,final_auroc,epsilon_spent,mia_auc,mia_advantage,mia_attack_accuracy
P2-E5,financial-sim,static-dp,6,20260101,0.730445,5.993563,0.489684,-0.020632,0.518
P2-E5,financial-sim,static-dp,10,20260101,0.731473,9.995506,0.48904,-0.02192,0.518
P2-E5,financial-sim,no-dp,0,20260202,0.741642,0,0.457556,-0.084888,0.506
P2-E5,financial-sim,static-dp,1,20260202,0.689481,1.033895,0.462712,-0.074576,0.509
P2-E5,financial-sim,static-dp,3,20260202,0.721465,3.008339,0.469348,-0.061304,0.507
P2-E5,financial-sim,static-dp,6,20260202,0.72612,5.993563,0.476836,-0.046328,0.508
P2-E5,financial-sim,static-dp,10,20260202,0.726971,9.995506,0.480432,-0.039136,0.508
P2-E5,financial-sim,no-dp,0,20260303,0.749212,0,0.466456,-0.067088,0.509
P2-E5,financial-sim,static-dp,1,20260303,0.746766,1.033895,0.514324,0.028648,0.524
P2-E5,financial-sim,static-dp,3,20260303,0.747387,3.008339,0.5066,0.0132,0.518
P2-E5,financial-sim,static-dp,6,20260303,0.74662,5.993563,0.504444,0.008888,0.517
P2-E5,financial-sim,static-dp,10,20260303,0.746186,9.995506,0.503768,0.007536,0.515
P2-E5,financial-sim,no-dp,0,20260404,0.731946,0,0.489044,-0.021912,0.524
P2-E5,financial-sim,static-dp,1,20260404,0.686362,1.033895,0.487112,-0.025776,0.524
P2-E5,financial-sim,static-dp,3,20260404,0.71149,3.008339,0.487812,-0.024376,0.526
P2-E5,financial-sim,static-dp,6,20260404,0.717962,5.993563,0.487836,-0.024328,0.52
P2-E5,financial-sim,static-dp,10,20260404,0.720037,9.995506,0.488016,-0.023968,0.521
P2-E5,financial-sim,no-dp,0,20260505,0.747909,0,0.46042,-0.07916,0.511
P2-E5,financial-sim,static-dp,1,20260505,0.709883,1.033895,0.45412,-0.09176,0.509
P2-E5,financial-sim,static-dp,3,20260505,0.740394,3.008339,0.479916,-0.040168,0.51
P2-E5,financial-sim,static-dp,6,20260505,0.74447,5.993563,0.489628,-0.020744,0.515
P2-E5,financial-sim,static-dp,10,20260505,0.745553,9.995506,0.493804,-0.012392,0.516
P2-E5,financial-sim,no-dp,0,20260606,0.724694,0,0.499336,-0.001328,0.517
P2-E5,financial-sim,static-dp,1,20260606,0.709603,1.033895,0.485092,-0.029816,0.507
P2-E5,financial-sim,static-dp,3,20260606,0.720339,3.008339,0.49864,-0.00272,0.517
P2-E5,financial-sim,static-dp,6,20260606,0.721397,5.993563,0.502064,0.004128,0.524
P2-E5,financial-sim,static-dp,10,20260606,0.721322,9.995506,0.50336,0.00672,0.523
P2-E5,financial-sim,no-dp,0,20260707,0.717103,0,0.446888,-0.106224,0.501
P2-E5,financial-sim,static-dp,1,20260707,0.703457,1.033895,0.506568,0.013136,0.536
P2-E5,financial-sim,static-dp,3,20260707,0.713558,3.008339,0.49104,-0.01792,0.526
P2-E5,financial-sim,static-dp,6,20260707,0.715483,5.993563,0.485376,-0.029248,0.524
P2-E5,financial-sim,static-dp,10,20260707,0.71618,9.995506,0.483316,-0.033368,0.52
P2-E5,financial-sim,no-dp,0,20260808,0.736872,0,0.486912,-0.026176,0.506
P2-E5,financial-sim,static-dp,1,20260808,0.729469,1.033895,0.467264,-0.065472,0.5
P2-E5,financial-sim,static-dp,3,20260808,0.744784,3.008339,0.489424,-0.021152,0.516
P2-E5,financial-sim,static-dp,6,20260808,0.745336,5.993563,0.497304,-0.005392,0.517
P2-E5,financial-sim,static-dp,10,20260808,0.745101,9.995506,0.500928,0.001856,0.523
P2-E5,financial-sim,no-dp,0,20260909,0.749372,0,0.46674,-0.06652,0.512
P2-E5,financial-sim,static-dp,1,20260909,0.711388,1.033895,0.536572,0.073144,0.546
P2-E5,financial-sim,static-dp,3,20260909,0.732995,3.008339,0.510756,0.021512,0.521
P2-E5,financial-sim,static-dp,6,20260909,0.738103,5.993563,0.50106,0.00212,0.517
P2-E5,financial-sim,static-dp,10,20260909,0.739902,9.995506,0.496648,-0.006704,0.519
P2-E5,financial-sim,no-dp,0,20261010,0.697503,0,0.506524,0.013048,0.525
P2-E5,financial-sim,static-dp,1,20261010,0.693251,1.033895,0.547916,0.095832,0.55
P2-E5,financial-sim,static-dp,3,20261010,0.694854,3.008339,0.533124,0.066248,0.543
P2-E5,financial-sim,static-dp,6,20261010,0.693495,5.993563,0.529924,0.059848,0.535
P2-E5,financial-sim,static-dp,10,20261010,0.692649,9.995506,0.528876,0.057752,0.534
P2-E5,financial-sim,no-dp,0,20261111,0.759479,0,0.471004,-0.057992,0.512
P2-E5,financial-sim,static-dp,1,20261111,0.735855,1.033895,0.49046,-0.01908,0.519
P2-E5,financial-sim,static-dp,3,20261111,0.750679,3.008339,0.492664,-0.014672,0.52
P2-E5,financial-sim,static-dp,6,20261111,0.751969,5.993563,0.494616,-0.010768,0.521
P2-E5,financial-sim,static-dp,10,20261111,0.752012,9.995506,0.495444,-0.009112,0.522
P2-E5,financial-sim,no-dp,0,20261212,0.750862,0,0.469056,-0.061888,0.511
P2-E5,financial-sim,static-dp,1,20261212,0.677936,1.033895,0.491696,-0.016608,0.512
P2-E5,financial-sim,static-dp,3,20261212,0.719043,3.008339,0.48682,-0.02636,0.507
P2-E5,financial-sim,static-dp,6,20261212,0.727679,5.993563,0.484916,-0.030168,0.507
P2-E5,financial-sim,static-dp,10,20261212,0.730095,9.995506,0.484656,-0.030688,0.511
P2-E5,financial-sim,no-dp,0,20261313,0.746391,0,0.484232,-0.031536,0.508
P2-E5,financial-sim,static-dp,1,20261313,0.718574,1.033895,0.518604,0.037208,0.524
P2-E5,financial-sim,static-dp,3,20261313,0.734318,3.008339,0.513136,0.026272,0.525
P2-E5,financial-sim,static-dp,6,20261313,0.735514,5.993563,0.512152,0.024304,0.521
P2-E5,financial-sim,static-dp,10,20261313,0.735649,9.995506,0.511936,0.023872,0.519
P2-E5,financial-sim,no-dp,0,20261414,0.735347,0,0.451544,-0.096912,0.509
P2-E5,financial-sim,static-dp,1,20261414,0.740035,1.033895,0.486612,-0.026776,0.515
P2-E5,financial-sim,static-dp,3,20261414,0.738883,3.008339,0.484204,-0.031592,0.524
P2-E5,financial-sim,static-dp,6,20261414,0.736651,5.993563,0.483532,-0.032936,0.519
P2-E5,financial-sim,static-dp,10,20261414,0.735443,9.995506,0.483452,-0.033096,0.519
P2-E5,financial-sim,no-dp,0,20261515,0.725206,0,0.457296,-0.085408,0.513
