experiment_id,domain,privacy_mode,epsilon_budget,seed,final_auroc,epsilon_spent,convergence_round,worst_client_auroc,runtime_ms
P2-E2,clinical-sim,static-dp,1,20261717,0.735796,1.033895,1,0.493471,36
P2-E2,clinical-sim,adaptive-dp,1,20261717,0.735796,7.632414,1,0.493471,35
P2-E2,clinical-sim,static-dp,3,20261717,0.801576,3.008339,1,0.476364,35
P2-E2,clinical-sim,adaptive-dp,3,20261717,0.735796,7.632414,1,0.493471,36
P2-E2,clinical-sim,static-dp,6,20261717,0.811076,5.993563,6,0.475491,35
P2-E2,clinical-sim,adaptive-dp,6,20261717,0.737341,8.004064,1,0.495279,36
P2-E2,clinical-sim,static-dp,10,20261717,0.813775,9.995506,5,0.476218,38
P2-E2,clinical-sim,adaptive-dp,10,20261717,0.738939,10.465998,1,0.490157,35
P2-E2,clinical-sim,no-dp,0,20261818,0.815326,0,1,0.567489,30
P2-E2,clinical-sim,static-dp,1,20261818,0.748322,1.033895,2,0.546229,38
P2-E2,clinical-sim,adaptive-dp,1,20261818,0.748322,7.632414,2,0.546229,36
P2-E2,clinical-sim,static-dp,3,20261818,0.803103,3.008339,2,0.571614,35
P2-E2,clinical-sim,adaptive-dp,3,20261818,0.748322,7.632414,2,0.546229,37
P2-E2,clinical-sim,static-dp,6,20261818,0.811149,5.993563,1,0.569399,34
P2-E2,clinical-sim,adaptive-dp,6,20261818,0.749375,8.004064,2,0.547548,37
P2-E2,clinical-sim,static-dp,10,20261818,0.813414,9.995506,1,0.569552,35
P2-E2,clinical-sim,adaptive-dp,10,20261818,0.752499,10.465998,1,0.555342,37
P2-E2,clinical-sim,no-dp,0,20261919,0.801767,0,2,0.557718,30
P2-E2,clinical-sim,static-dp,1,20261919,0.761669,1.033895,13,0.560599,36
P2-E2,clinical-sim,adaptive-dp,1,20261919,0.761669,7.632414,13,0.560599,37
P2-E2,clinical-sim,static-dp,3,20261919,0.784051,3.008339,13,0.554201,35
P2-E2,clinical-sim,adaptive-dp,3,20261919,0.761669,7.632414,13,0.560599,36
P2-E2,clinical-sim,static-dp,6,20261919,0.790651,5.993563,12,0.551189,35
P2-E2,clinical-sim,adaptive-dp,6,20261919,0.761288,8.004064,13,0.559094,37
P2-E2,clinical-sim,static-dp,10,20261919,0.793377,9.995506,12,0.549307,34
P2-E2,clinical-sim,adaptive-dp,10,20261919,0.755377,10.465998,6,0.558868,38
P2-E2,financial-sim,no-dp,0,20260000,0.702119,0,5,0.54237,51
P2-E2,financial-sim,static-dp,1,20260000,0.684249,1.033895,27,0.528942,61
P2-E2,financial-sim,adaptive-dp,1,20260000,0.684249,7.632414,27,0.528942,65
P2-E2,financial-sim,static-dp,3,20260000,0.69842,3.008339,25,0.51624,61
P2-E2,financial-sim,adaptive-dp,3,20260000,0.684249,7.632414,27,0.528942,61
P2-E2,financial-sim,static-dp,6,20260000,0.698413,5.993563,22,0.514244,59
P2-E2,financial-sim,adaptive-dp,6,20260000,0.684412,8.004064,27,0.530031,61
P2-E2,financial-sim,static-dp,10,20260000,0.6976,9.995506,20,0.512974,59
P2-E2,financial-sim,adaptive-dp,10,20260000,0.6856,10.465998,21,0.529124,61
P2-E2,financial-sim,no-dp,0,20260101,0.747109,0,7,0.525938,54
P2-E2,financial-sim,static-dp,1,20260101,0.70512,1.033895,7,0.523033,62
P2-E2,financial-sim,adaptive-dp,1,20260101,0.70512,7.632414,7,0.523033,63
P2-E2,financial-sim,static-dp,3,20260101,0.726881,3.008339,8,0.516627,63
P2-E2,financial-sim,adaptive-dp,3,20260101,0.70512,7.632414,7,0.523033,62
P2-E2,financial-sim,static-dp,6,20260101,0.730445,5.993563,8,0.511838,61
P2-E2,financial-sim,adaptive-dp,6,20260101,0.707315,8.004064,7,0.523033,64
P2-E2,financial-sim,static-dp,10,20260101,0.731473,9.995506,14,0.508646,61
P2-E2,financial-sim,adaptive-dp,10,20260101,0.706509,10.465998,2,0.521084,61
P2-E2,financial-sim,no-dp,0,20260202,0.741642,0,8,0.474062,52
P2-E2,financial-sim,static-dp,1,20260202,0.689481,1.033895,1,0.462294,60
P2-E2,financial-sim,adaptive-dp,1,20260202,0.689481,7.632414,1,0.462294,61
P2-E2,financial-sim,static-dp,3,20260202,0.721465,3.008339,2,0.488428,59
P2-E2,financial-sim,adaptive-dp,3,20260202,0.689481,7.632414,1,0.462294,60
P2-E2,financial-sim,static-dp,6,20260202,0.72612,5.993563,2,0.480181,59
P2-E2,financial-sim,adaptive-dp,6,20260202,0.68751,8.004064,1,0.45861,61
P2-E2,financial-sim,static-dp,10,20260202,0.726971,9.995506,8,0.476457,61
P2-E2,financial-sim,adaptive-dp,10,20260202,0.681552,10.465998,1,0.461066,61
P2-E2,financial-sim,no-dp,0,20260303,0.749212,0,4,0.488889,51
P2-E2,financial-sim,static-dp,1,20260303,0.746766,1.033895,20,0.497778,62
P2-E2,financial-sim,adaptive-dp,1,20260303,0.746766,7.632414,20,0.497778,61
P2-E2,financial-sim,static-dp,3,20260303,0.747387,3.008339,5,0.495278,60
P2-E2,financial-sim,adaptive-dp,3,20260303,0.746766,7.632414,20,0.497778,62
P2-E2,financial-sim,static-dp,6,20260303,0.74662,5.993563,5,0.495278,60
P2-E2,financial-sim,adaptive-dp,6,20260303,0.746628,8.004064,20,0.495833,65
P2-E2,financial-sim,static-dp,10,20260303,0.746186,9.995506,2,0.493889,62
P2-E2,financial-sim,adaptive-dp,10,20260303,0.746657,10.465998,5,0.493889,60
P2-E2,financial-sim,no-dp,0,20260404,0.731946,0,7,0.593712,51
P2-E2,financial-sim,static-dp,1,20260404,0.686362,1.033895,14,0.589744,60
P2-E2,financial-sim,adaptive-dp,1,20260404,0.686362,7.632414,14,0.589744,61
P2-E2,financial-sim,static-dp,3,20260404,0.71149,3.008339,2,0.592491,60
P2-E2,financial-sim,adaptive-dp,3,20260404,0.686362,7.632414,14,0.589744,61
P2-E2,financial-sim,static-dp,6,20260404,0.717962,5.993563,14,0.596459,61
P2-E2,financial-sim,adaptive-dp,6,20260404,0.688114,8.004064,2,0.590354,60
P2-E2,financial-sim,static-dp,10,20260404,0.720037,9.995506,14,0.600733,61
P2-E2,financial-sim,adaptive-dp,10,20260404,0.68862,10.465998,2,0.587302,60
P2-E2,financial-sim,no-dp,0,20260505,0.747909,0,4,0.479589,52
P2-E2,financial-sim,static-dp,1,20260505,0.709883,1.033895,2,0.416586,66
P2-E2,financial-sim,adaptive-dp,1,20260505,0.709883,7.632414,2,0.416586,65
P2-E2,financial-sim,static-dp,3,20260505,0.740394,3.008339,2,0.432337,61
P2-E2,financial-sim,adaptive-dp,3,20260505,0.709883,7.632414,2,0.416586,61
P2-E2,financial-sim,static-dp,6,20260505,0.74447,5.993563,2,0.443266,59
P2-E2,financial-sim,adaptive-dp,6,20260505,0.708383,8.004064,2,0.419158,61
P2-E2,financial-sim,static-dp,10,20260505,0.745553,9.995506,2,0.450016,60
P2-E2,financial-sim,adaptive-dp,10,20260505,0.707813,10.465998,2,0.419479,59
P2-E2,financial-sim,no-dp,0,20260606,0.724694,0,3,0.50947,50
P2-E2,financial-sim,static-dp,1,20260606,0.709603,1.033895,17,0.505682,64
P2-E2,financial-sim,adaptive-dp,1,20260606,0.709603,7.632414,17,0.505682,63
P2-E2,financial-sim,static-dp,3,20260606,0.720339,3.008339,17,0.514205,60
